Date/Time|Deleted Flag|Updated By|Username|Usercode|Marked on Trip
30 Jun 2014 11:36:07|Y|ASR|ANNALISE|ASR|Y
30 Jun 2014 11:36:07|N|ASR|LOUIS|LJO|Y
04 Jul 2014 08:59:55|N|ASR|ANNALISE|ASR|Y
04 Jul 2014 09:00:13|Y|ASR|ANNALISE|ASR|N
