Record Date/Time|Deleted Flag|User|Tow Complete|Tow Number|FMA|Strategy|Species|Trawl Type|Net Type|Gear code|MHS Model|MHS Cone|MHS Mid Section 1|MHS Mid Section 2|MHS Mid Section 3|MHS Mid Section 4|MHS Mid Section 5|MHS Mid Section 6|MHS Codend|STD Mesh Size|MHS Hash Mesh|STD Codend|Camera 1 enabled|Camera 1 Type|Camera 1 Location|Camera 1 Orientation|Camera 2 enabled|Camera 2 Type|Camera 2 Location|Camera 2 Orientation|Camera 3 enabled|Camera 3 Type|Camera 3 Location|Camera 3 Orientation|Camera 4 enabled|Camera 4 Type|Camera 4 Location|Camera 4 Orientation|Camera 5 enabled|Camera 5 Type|Camera 5 Location|Camera 5 Orientation|Camera 6 enabled|Camera 6 Type|Camera 6 Location|Camera 6 Orientation|Sensor 1 enabled|Sensor 1 Type|Sensor 1 Location|Sensor 2 enabled|Sensor 2 Type|Sensor 2 Location|Sensor 3 enabled|Sensor 3 Type|Sensor 3 Location|Sensor 4 enabled|Sensor 4 Type|Sensor 4 Location|Sensor 5 enabled|Sensor 5 Type|Sensor 5 Location|Sensor 6 enabled|Sensor 6 Type|Sensor 6 Location|Depth Unit of Measure|Doors Away Date/Time|Doors Away Waypoint|Start Date/Time|Start Latitude Degrees|Start Latitude Minutes|Start Latitude Hemisphere|Start Longitude Degrees|Start Longitude Minutes|Start Longitude Hemisphere|Start Groundline depth|Start Seabed depth|Boat RPM|Boat Pitch|Boat Fuel Usage|Boat Load|Moon Phase|Weather|Beaufort|Tide / Current|Water Temp|End Date/Time|End Latitude Degrees|End Latitude Minutes|End Latitude Hemisphere|End Longitude Degrees|End Longitude Minutes|End Longitude Hemisphere|Net at surface Time|Net on board time|Hauling Method|Split Bag|Handling Method 1|Handling Method 2|Handling Method 3|Hauling Discharge|Mitigation Equipment Code|Mitigation Event Code|Landed Water Quality 1|Landed Water Quality 2|Landed Water Quality 3|Hauled Net Orientation|Anaesthetic Type|Anaesthetic Time|Anaesthetic Concentration|Anaesthetic Duration|Comment
30 Jun 2014 11:36|N|ASR|N|1|CEE|C1|HOK|MW  - midwater trawl|Mid Water Trawl|MHS|1|1|48|48|49|49|50|51|1||||Yes|Camera 1|Selection Section 1|Forward Inside|No||||No||||No||||No||||No||||No|||No|||No|||No|||No|||No||||27/06/14 01:49|Ten Tow 1|27 Jun 2014 01:26|41|33.0|S|174|35.4|E|Unknown|497|133|Unknown|Unknown|Unknown|Full Moon|Heavy Cloud|1 - Light air, sea has ripples|Towing with||27 Jun 2014 03:08|41|30.0|S|174|32.6|E|03:33|03:36|Reverse Lift|No||||  ||||||Upside Down||  :  ||  :  |
30 Jun 2014 11:36|N|ASR|N|2|CEE|A1|HOK|MW  - midwater trawl|Mid Water Trawl|MHS|1|1|48|48|49|49|50|51|1||||No||||No||||No||||No||||No||||No||||No|||No|||No|||No|||No|||No||||27/06/14 12:26|Ten Tow 1|27 Jun 2014 12:17|41|29.5|S|174|32.4|E|Unknown|404|121|Unknown|Unknown|Unknown|Full Moon|Heavy Cloud|4 - Moderate breeze, sea has small waves||14.3|27 Jun 2014 13:09|41|28.7|S|174|31.6|E|13:25|13:30|Reverse Lift|No||||  ||||||Upside Down||  :  ||  :  |
30 Jun 2014 11:36|N|ASR|N|3|CEE|A1|HOK|MW  - midwater trawl|Mid Water Trawl|MHS|1|1|48|48|49|49|50|51|1||||No||||No||||No||||No||||No||||No||||No|||No|||No|||No|||No|||No||||27/06/14 20:23|Ten Tow 1|27 Jun 2014 20:04|41|29.0|S|174|32.5|E|Unknown|298|115|Unknown|Unknown|Unknown|Full Moon|Heavy Cloud|3 - Gentle breeze, sea has small wavelets||14.3|27 Jun 2014 21:28|41|29.8|S|174|33.1|E|22:13|22:13|Reverse Lift|5||||  ||||||Upside Down||  :  ||  :  |
30 Jun 2014 11:36|N|ASR|N|4|CEE|A1|HOK|MW  - midwater trawl|Mid Water Trawl|MHS|1|1|48|48|49|49|50|51|1||||Yes|Camera 1|Selection section 3|Forward Inside|No||||No||||No||||No||||No||||No|||No|||No|||No|||No|||No||||28/06/14 08:16|Ten Tow 3|28 Jun 2014 08:05|41|27.9|S|174|31.9|E|Unknown|239|160|Unknown|Unknown|Unknown|Full Moon|Cloudy|0 - Calm, sea mirror like|||28 Jun 2014 08:53|41|29.2|S|174|32.1|E|09:07|09:35|Reverse Lift|3||||  ||||||Upside Down||  :  ||  :  |
